Image,Method,MSE,RMSE,PSNR,SSIM
431_IM-0702-0055_anon.png,Gaussian Blur,0.0021316926,0.046170257,26.712754479777253,0.46570219395121965
431_IM-0702-0055_anon.png,Bilateral Filter,0.0017919246,0.04233113,27.46680282020013,0.4100679192488758
431_IM-0702-0055_anon.png,Median Filter,0.0019394828,0.04403956,27.12314098247793,0.46974152379324047
431_IM-0702-0055_anon.png,NLM Filter,0.0012325717,0.035108,29.091878561706963,0.44330081478774724
431_IM-0702-0055_anon.png,Wiener Filter,0.0011215799914131934,0.03348999837881742,29.501697469668873,0.45754099326462944
1_IM-0001-0059_anon.png,Gaussian Blur,0.0028071972,0.05298299,25.517270364381858,0.4677210980660208
1_IM-0001-0059_anon.png,Bilateral Filter,0.002305559,0.04801624,26.37223794356323,0.41219874752598
1_IM-0001-0059_anon.png,Median Filter,0.0022670191,0.047613226,26.44544767712269,0.4721397345600169
1_IM-0001-0059_anon.png,NLM Filter,0.0017651164,0.042013288,27.532266325243228,0.4320217012980024
1_IM-0001-0059_anon.png,Wiener Filter,0.0014160379662880058,0.0376302799124323,28.489251023465783,0.46040462756678996
386_IM-0229-0013_anon.png,Gaussian Blur,0.0018636152,0.04316961,27.296437580420438,0.46981452981663924
386_IM-0229-0013_anon.png,Bilateral Filter,0.0018594374,0.043121196,27.30618447431973,0.4249792046396845
386_IM-0229-0013_anon.png,Median Filter,0.001632634,0.040405866,27.871111107759038,0.4741992526786111
386_IM-0229-0013_anon.png,NLM Filter,0.0012385964,0.035193697,29.07070143121958,0.4454338758429167
386_IM-0229-0013_anon.png,Wiener Filter,0.0011333242747547441,0.03366488192099809,29.456458089477756,0.4676148707694021
377_IM-0271-0001_anon.png,Gaussian Blur,0.0017190189,0.041461054,27.647193378936734,0.5564364104803486
377_IM-0271-0001_anon.png,Bilateral Filter,0.0017591463,0.04194218,27.54698022403224,0.5009432928642162
377_IM-0271-0001_anon.png,Median Filter,0.0015801667,0.03975131,28.012971763208633,0.5569202229726458
377_IM-0271-0001_anon.png,NLM Filter,0.0010999582,0.03316562,29.586238210221577,0.5175230332367424
377_IM-0271-0001_anon.png,Wiener Filter,0.0009608960260986594,0.030998322956228768,30.173236026899808,0.5513823581396201
278_IM-0069-0016_anon.png,Gaussian Blur,0.0019903309,0.044613123,27.010746762863693,0.5070177781527995
278_IM-0069-0016_anon.png,Bilateral Filter,0.0017293271,0.04158518,27.621228117603188,0.4508092097256174
278_IM-0069-0016_anon.png,Median Filter,0.0018136832,0.04258736,27.414385870219927,0.5092474892491844
278_IM-0069-0016_anon.png,NLM Filter,0.0011764697,0.034299705,29.294192202656863,0.46919784452074914
278_IM-0069-0016_anon.png,Wiener Filter,0.0010386618457645849,0.032228277114431436,29.835258214726956,0.500270328048307
75_IM-0122-0037_anon.png,Gaussian Blur,0.0019462584,0.04411642,27.10799514224098,0.38530560407112785
75_IM-0122-0037_anon.png,Bilateral Filter,0.001778453,0.04217171,27.49957580871309,0.3439625123775535
75_IM-0122-0037_anon.png,Median Filter,0.0017355306,0.041659698,27.60567766466679,0.39094625102680264
75_IM-0122-0037_anon.png,NLM Filter,0.0013445736,0.036668427,28.714154167935956,0.36745083270296847
75_IM-0122-0037_anon.png,Wiener Filter,0.0012085527455675288,0.03476424521786039,29.17734390677066,0.383039162129346
584_IM-0890-0040-0001_anon.png,Gaussian Blur,0.0017828122,0.04222336,27.48894398724065,0.5015769392083704
584_IM-0890-0040-0001_anon.png,Bilateral Filter,0.0016155572,0.040193994,27.916775931914888,0.4295607115773679
584_IM-0890-0040-0001_anon.png,Median Filter,0.0016080736,0.040100794,27.936941446082916,0.5047258411408972
584_IM-0890-0040-0001_anon.png,NLM Filter,0.0011907542,0.03450731,29.241778315170166,0.4687770411086964
584_IM-0890-0040-0001_anon.png,Wiener Filter,0.0010496645445315501,0.03239852688829463,29.78949472107097,0.4842060163129306
328_IM-0791-0062_anon.png,Gaussian Blur,0.0018867883,0.043437175,27.24276849459605,0.5413329088022124
328_IM-0791-0062_anon.png,Bilateral Filter,0.0017056881,0.041299976,27.681004279819224,0.48111951419375965
328_IM-0791-0062_anon.png,Median Filter,0.0016251147,0.04031271,27.891159696285982,0.5440331256290531
328_IM-0791-0062_anon.png,NLM Filter,0.0011402197,0.03376714,29.430113968972424,0.5043357368272741
328_IM-0791-0062_anon.png,Wiener Filter,0.001013023586648666,0.03182803146046997,29.943804426633044,0.5329374188364292
234_IM-0173-19200_anon.png,Gaussian Blur,0.001507624,0.038828135,28.217069078665165,0.3565943318464743
234_IM-0173-19200_anon.png,Bilateral Filter,0.0017454288,0.04177833,27.5809792566698,0.3095081500550623
234_IM-0173-19200_anon.png,Median Filter,0.0013877847,0.03725298,28.57677907676301,0.3637347390487359
234_IM-0173-19200_anon.png,NLM Filter,0.0012276149,0.035037335,29.109378497748402,0.3648425440028654
234_IM-0173-19200_anon.png,Wiener Filter,0.001195360332474161,0.03457398346262925,29.225011601414717,0.36133854710350227
121_IM-0084-0022_anon.png,Gaussian Blur,0.0021251976,0.046099864,26.726007135980492,0.5122777256685842
121_IM-0084-0022_anon.png,Bilateral Filter,0.0020356788,0.045118496,26.91290718434388,0.42430872428658417
121_IM-0084-0022_anon.png,Median Filter,0.0018396338,0.04289095,27.352686062356778,0.5226625640846131
121_IM-0084-0022_anon.png,NLM Filter,0.001173485,0.034256168,29.305224476066417,0.5071253784197486
121_IM-0084-0022_anon.png,Wiener Filter,0.001179693766333638,0.03434667038205651,29.28230715449783,0.49115966311544706
